id,generico_id,grupo_insumo_id,created_at,updated_at,deleted_at
135,135,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
136,136,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
137,137,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
138,138,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
139,139,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
140,140,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
141,141,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
142,142,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
143,143,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
144,144,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
145,145,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
146,146,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
147,147,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
148,148,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
149,149,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
150,150,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
151,151,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
152,152,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
153,153,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
154,154,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
155,155,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
156,156,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
157,157,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
158,158,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
159,159,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
160,160,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
161,161,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
162,162,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
163,163,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
164,164,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
165,165,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
166,166,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
167,167,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
168,168,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
169,169,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
170,170,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
171,171,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
172,172,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
173,173,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
174,174,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
175,175,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
176,176,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
177,177,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
178,178,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
179,179,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
180,180,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
181,181,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
182,182,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
183,183,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
184,184,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
185,185,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
186,186,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
187,187,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
188,188,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
189,189,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
190,190,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
191,191,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
192,192,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
193,193,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
194,194,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
195,195,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
196,196,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
197,197,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
198,198,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
199,199,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
200,200,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
201,201,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
202,202,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
203,203,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
204,204,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
205,205,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
206,206,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
207,207,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
208,208,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
209,209,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
210,210,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
211,211,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
212,212,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
213,213,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
214,214,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
215,215,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
216,216,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
217,217,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
218,218,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
219,219,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
220,220,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
221,221,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
222,222,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
223,223,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
224,224,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
225,225,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
226,226,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
227,227,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
228,228,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
229,229,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
230,230,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
231,231,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
232,232,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
233,233,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
234,234,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
235,235,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
236,236,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
237,237,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
238,238,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
239,239,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
240,240,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
241,241,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
242,242,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
243,243,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
244,244,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
245,245,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
246,246,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
247,247,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
248,248,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
249,249,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
250,250,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
251,251,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
252,252,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
253,253,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
254,254,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
255,255,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
256,256,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
257,257,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
258,258,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
259,259,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
260,260,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
261,261,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
262,262,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
263,263,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
264,264,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
265,265,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
266,266,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
267,267,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
268,268,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
269,269,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
270,270,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
271,271,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
272,272,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
273,273,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
274,274,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
275,275,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
276,276,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
277,277,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
