id,contrato_id,clues,created_at,updated_at,deleted_at
55,1,CSSSA012295,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
56,1,CSSSA012300,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
57,1,CSSSA012312,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
58,1,CSSSA012324,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
59,1,CSSSA012336,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
60,1,CSSSA012341,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
61,1,CSSSA012353,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
62,1,CSSSA012365,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
63,1,CSSSA012370,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
64,1,CSSSA012382,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
65,1,CSSSA012394,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
66,1,CSSSA012406,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
67,1,CSSSA012411,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
68,1,CSSSA012423,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
69,1,CSSSA012435,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
70,1,CSSSA012440,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
71,1,CSSSA012452,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
72,1,CSSSA012464,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
73,1,CSSSA012476,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
74,1,CSSSA012481,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
75,1,CSSSA012493,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,1,CSSSA012505,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,1,CSSSA012510,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,1,CSSSA012522,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,1,CSSSA012534,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,1,CSSSA012546,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,1,CSSSA012551,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,1,CSSSA012563,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,1,CSSSA012575,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,1,CSSSA012580,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,1,CSSSA012592,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,1,CSSSA012604,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,1,CSSSA012616,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,1,CSSSA012621,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,1,CSSSA012633,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,1,CSSSA012645,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
91,1,CSSSA012650,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
92,1,CSSSA012662,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
93,1,CSSSA012674,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
94,1,CSSSA012686,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
95,1,CSSSA012721,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
96,1,CSSSA012730,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
97,1,CSSSA012745,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
98,1,CSSSA012754,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
99,1,CSSSA012763,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
100,1,CSSSA012772,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
101,1,CSSSA012781,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
102,1,CSSSA012790,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
103,1,CSSSA012805,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
104,1,CSSSA012814,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
105,1,CSSSA012823,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
106,1,CSSSA012832,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
107,1,CSSSA012841,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
108,1,CSSSA012850,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
109,1,CSSSA017813,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
110,1,CSSSA017825,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
111,1,CSSSA017830,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
112,1,CSSSA017842,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
113,1,CSSSA017854,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
114,1,CSSSA017866,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
115,1,CSSSA017953,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
116,1,CSSSA017965,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
117,1,CSSSA018134,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
118,1,CSSSA018146,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
119,1,CSSSA018151,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
120,1,CSSSA018163,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
121,1,CSSSA018175,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
122,1,CSSSA018180,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
123,1,CSSSA018192,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
124,1,CSSSA018204,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
125,1,CSSSA018216,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
126,1,CSSSA018221,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
127,1,CSSSA018233,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
128,1,CSSSA018245,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
129,1,CSSSA018250,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
130,1,CSSSA018262,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
131,1,CSSSA018274,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
132,1,CSSSA018286,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
133,1,CSSSA018291,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
134,1,CSSSA018303,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
135,1,CSSSA018315,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
136,1,CSSSA018320,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
137,1,CSSSA018332,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
138,1,CSSSA018344,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
139,1,CSSSA018356,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
140,1,CSSSA018361,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
141,1,CSSSA018373,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
142,1,CSSSA018385,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
143,1,CSSSA018390,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
144,1,CSSSA018402,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
145,1,CSSSA018991,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
146,1,CSSSA019003,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
147,1,CSSSA019015,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
148,1,CSSSA019020,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
149,1,CSSSA019032,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
150,1,CSSSA019044,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
151,1,CSSSA019056,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
152,1,CSSSA019061,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
153,1,CSSSA019073,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
