id,clues,almacen_id,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,insumos_autorizado,insumos_modificado,insumos_comprometido,insumos_devengado,insumos_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible,validation,created_at,updated_at,deleted_at
38,CSSSA019242,000142,4,2017,1,3,35855.61,17430.74,0.00,17430.74,0.00,0.00,0.00,0.00,0.00,0.00,22745.21,0.00,0.00,0.00,0.00,34434.42,14814.82,0.00,14814.82,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,CSSSA017521,000132,4,2017,1,3,35855.61,35682.50,0.00,35682.50,0.00,0.00,0.00,0.00,0.00,0.00,22745.21,0.00,0.00,0.00,0.00,34434.42,6794.46,0.00,6794.46,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,CSSSA004595,000111,6,2017,1,3,275497.35,83989.40,0.00,83989.40,0.00,0.00,0.00,0.00,0.00,0.00,174763.30,125896.52,0.00,125896.52,0.00,264577.64,193048.13,0.00,193048.13,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,CSSSA008264,000119,4,2017,1,3,184900.85,205523.43,66332.00,139191.43,0.00,0.00,0.00,0.00,0.00,0.00,117292.90,35574.60,5630.00,29944.60,0.00,177572.05,231411.86,54370.15,177041.71,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,CSSSA006934,000116,4,2017,1,3,64282.72,63753.66,0.00,63753.66,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,3628.96,0.00,3628.96,0.00,61734.78,75253.71,0.00,75253.71,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,CSSSA017731,000134,4,2017,1,3,64282.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,0.00,0.00,0.00,0.00,61734.78,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,CSSSA017341,000122,4,2017,1,3,833825.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1586258.62,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
45,CSSSA017370,000125,4,2017,1,3,484676.07,1224.71,0.00,1224.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,922041.11,2352.41,0.00,2352.41,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
46,CSSSA017382,000126,4,2017,1,3,466085.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,886674.29,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
47,CSSSA017411,000129,4,2017,1,3,452968.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,861720.58,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
48,CSSSA007540,000118,5,2017,1,1,642827.16,264923.16,0.00,264923.16,0.00,0.00,0.00,0.00,0.00,0.00,407781.04,285158.50,0.00,285158.50,0.00,617347.84,617318.71,0.00,617318.71,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
49,CSSSA019954,000145,5,2017,1,1,1469319.22,1409513.21,0.00,1409513.21,0.00,0.00,0.00,0.00,0.00,0.00,932070.95,687037.22,0.00,687037.22,0.00,1411080.77,2492952.13,0.00,2492952.13,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
50,CSSSA000832,00015,5,2017,1,1,245794.47,87344.22,0.00,87344.22,0.00,0.00,0.00,0.00,0.00,0.00,155921.11,15673.92,0.00,15673.92,0.00,236052.07,123753.59,0.00,123753.59,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
51,CSSSA000045,00011,5,2017,1,1,183664.90,165821.90,0.00,52731.61,113090.29,0.00,0.00,0.00,0.00,0.00,116508.87,14522.60,0.00,14522.60,0.00,176385.10,194144.19,0.00,96570.39,97573.80,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
52,CSSSAHICCOR,00017,5,2017,1,1,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
53,CSSSA009162,000120,5,2017,1,1,110198.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69905.32,0.00,0.00,0.00,0.00,105831.06,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
54,CSSSAHIBERR,00014,5,2017,1,1,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
55,CSSSA018875,000141,5,2017,1,1,257130.86,101301.34,0.00,101301.34,0.00,0.00,0.00,0.00,0.00,0.00,163112.42,51011.76,0.00,51011.76,0.00,246939.13,112887.01,0.00,112887.01,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
56,CSSSA017516,000131,5,2017,1,1,91832.45,61126.88,26511.44,34615.44,0.00,0.00,0.00,0.00,0.00,0.00,58254.43,26882.50,26882.50,0.00,0.00,88192.55,95678.62,31972.88,63705.74,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
