id,clues,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible
82,CSSSA019645,5,2017,1,3,178140.5421,178140.5421,0,0,178140.5421,113004.4586,113004.4586,0,0,113004.4586,171079.7004,171079.7004,0,0,171079.7004
83,CSSSA004945,5,2017,1,3,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
84,CSSSAHGREFO,5,2017,1,3,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
85,CSSSA019242,5,2017,1,3,35855.60904,35855.60904,0,0,35855.60904,22745.20802,22745.20802,0,0,22745.20802,34434.42341,34434.42341,0,0,34434.42341
86,CSSSA017521,5,2017,1,3,35855.60904,35855.60904,0,0,35855.60904,22745.20802,22745.20802,0,0,22745.20802,34434.42341,34434.42341,0,0,34434.42341
87,CSSSA004595,5,2017,1,3,275497.3546,275497.3546,0,0,275497.3546,174763.3023,174763.3023,0,0,174763.3023,264577.6438,264577.6438,0,0,264577.6438
88,CSSSA008264,5,2017,1,3,184900.8473,184900.8473,0,0,184900.8473,117292.8964,117292.8964,0,0,117292.8964,177572.0518,177572.0518,0,0,177572.0518
89,CSSSA006934,5,2017,1,3,64282.71607,64282.71607,0,0,64282.71607,40778.10386,40778.10386,0,0,40778.10386,61734.78355,61734.78355,0,0,61734.78355
90,CSSSA017731,5,2017,1,3,64282.71607,64282.71607,0,0,64282.71607,40778.10386,40778.10386,0,0,40778.10386,61734.78355,61734.78355,0,0,61734.78355
91,CSSSA017341,5,2017,1,3,833825.73,833825.73,0,0,833825.73,0,0,0,0,0,1586258.62,1586258.62,0,0,1586258.62
92,CSSSA017370,5,2017,1,3,484676.07,484676.07,0,0,484676.07,0,0,0,0,0,922041.11,922041.11,0,0,922041.11
93,CSSSA017382,5,2017,1,3,466085.31,466085.31,0,0,466085.31,0,0,0,0,0,886674.29,886674.29,0,0,886674.29
94,CSSSA017411,5,2017,1,3,452968.25,452968.25,0,0,452968.25,0,0,0,0,0,861720.58,861720.58,0,0,861720.58
95,CSSSA007540,6,2017,1,1,642827.1607,642827.1607,0,0,642827.1607,407781.0386,407781.0386,0,0,407781.0386,617347.8355,617347.8355,0,0,617347.8355
96,CSSSA019954,6,2017,1,1,1469319.224,1469319.224,0,0,1469319.224,932070.9454,932070.9454,0,0,932070.9454,1411080.767,1411080.767,0,0,1411080.767
97,CSSSA000832,6,2017,1,1,245794.4653,245794.4653,0,0,245794.4653,155921.1067,155921.1067,0,0,155921.1067,236052.0688,236052.0688,0,0,236052.0688
98,CSSSA000045,6,2017,1,1,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
99,CSSSA001626,6,2017,1,1,20203.13934,20203.13934,0,0,20203.13934,12815.9755,12815.9755,0,0,12815.9755,19402.36055,19402.36055,0,0,19402.36055
