id,clave,nombre,jurisdiccion,created_at,updated_at,deleted_at
100,100,TUMBALÁ,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
101,101,"TUXTLA GUTIÉRREZ",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
102,102,"TUXTLA CHICO",7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
103,103,TUZANTÁN,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
104,104,TZIMOL,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
105,105,"UNIÓN JUÁREZ",7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
106,106,"VENUSTIANO CARRANZA",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
107,107,"VILLA CORZO",4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
108,108,VILLAFLORES,4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
109,109,YAJALÓN,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
110,110,"SAN LUCAS",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
111,111,ZINACANTÁN,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
112,112,"SAN JUAN CANCUC",2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
113,113,ALDAMA,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
114,114,"BENEMÉRITO DE LAS AMÉRICAS",6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
115,115,"MARAVILLA TENEJAPA",3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
116,116,"MARQUÉS DE COMILLAS",6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
117,117,"MONTECRISTO DE GUERRERO",4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
118,118,"SAN ANDRÉS DURAZNAL",5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
119,119,"SANTIAGO EL PINAR",2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
120,120,"BELISARIO DOMINGUEZ",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
121,121,"EMILIANO ZAPATA",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
122,122,MEZCALAPA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
123,123,"EL PARRAL",4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
